year,to_country,song,place_final,points_final,performer
1962,Norway,"Kom Sol, Kom Regn",10,2,Inger Jacobsen
1962,Switzerland,Le Retour,10,2,Jean Philippe
1962,Belgium,Ton Nom,13,0,Fud Leclerc
1962,Spain,Llámame,13,0,Victor Balaguer
1962,Austria,Nur In Der Wiener Luft,13,0,Eleonore Schwarz
1962,Netherlands,Katinka,13,0,De Spelbrekers
1963,Denmark,Dansevise,1,42,Grethe & Jørgen Ingmann
1963,Switzerland,T'en Va Pas,2,40,Esther Ofarim
1963,Italy,Uno Per Tutte,3,37,Emilio Pericoli
1963,United Kingdom,Say Wonderful Things,4,28,Ronnie Carroll
1963,France,Elle était Si Jolie,5,25,Alain Barrière
1963,Monaco,L'amour S'en Va,5,25,Françoise Hardy
1963,Austria,Vielleicht Geschieht Ein Wunder,7,16,Carmela Corren
1963,Luxembourg,A Force De Prier,8,13,Nana Mouskouri
1963,Germany,Marcel,9,5,Heidi Brühl
1963,Belgium,Waarom,10,4,Jacques Raymond
1963,Yugoslavia,Brodovi,11,3,Vice Vukov
1963,Spain,Algo Prodigioso,12,2,José Guardiola
1963,Netherlands,Een Speeldoos,13,0,Annie Palmen
1963,Norway,Solhverv,13,0,Anita Thallaug
1963,Finland,Muistojeni Laulu,13,0,Laila Halme
1963,Sweden,En Gång I Stockholm,13,0,Monica Zetterlund
1964,Italy,Non Ho L'étà,1,49,Gigliola Cinquetti
1964,United Kingdom,I Love The Little Things,2,17,Matt Monro
1964,Monaco,Où Sont-elles Passées?,3,15,Romuald
1964,Luxembourg,Dès Que Le Printemps Revient,4,14,Hugues Aufray
1964,France,Le Chant De Mallory,4,14,Rachel
1964,Austria,"Warum Nur, Warum?",6,11,Udo Jürgens
1964,Finland,Laiskotellen,7,9,Lasse Mårtenson
1964,Norway,Spiral,8,6,Arne Bendiksen
1964,Denmark,Sangen Om Dig,9,4,Bjørn Tidmand
1964,Netherlands,Jij Bent Mijn Leven,10,2,Anneke Grönloh
1964,Belgium,Près De Ma Rivière,10,2,Robert Cogoi
1964,Spain,Caracola,12,1,"Tim, Nelly and Tony"
1964,Germany,Man Gewöhnt Sich So Schnell An Das Schöne,13,0,Nora Nova
1964,Portugal,Oração,13,0,António Calvário
1964,Yugoslavia,Život je sklopio krug,13,0,Sabahudin Kurt
1964,Switzerland,I Miei Pensieri,13,0,Anita Traversi
1965,Luxembourg,"Poupée De Cire, Poupée De Son",1,32,France Gall
1965,United Kingdom,I Belong,2,26,Kathy Kirby
1965,France,N'avoue Jamais,3,22,Guy Mardel
1965,Austria,"Sag Ihr, Ich Lass' Sie Grüßen",4,16,Udo Jürgens
1965,Italy,"Se Piangi, Se Ridi",5,15,Bobby Solo
1965,Ireland,I'm Walking The Streets In The Rain,6,11,Butch Moore
1965,Denmark,For Din Skyld,7,10,Birgit Brüel
1965,Switzerland,Non à Jamais Sans Toi,8,8,Yovanna
1965,Monaco,Va Dire à L'amour,9,7,Marjorie Noël
1965,Sweden,Absent Friend,10,6,Ingvar Wixell
1965,Netherlands,Het Is Genoeg,11,5,Conny Van den bos
1965,Yugoslavia,Ceznja,12,2,Vice Vukov
1965,Norway,Karusell,13,1,Kirsti Sparboe
1965,Portugal,Sol De Inverno,13,1,Simone de Oliviera
1965,Spain,"Qué Bueno, Qué Bueno",15,0,Conchita Bautista
1965,Germany,"Paradies, Wo Bist Du?",15,0,Ulla Wiesner
1965,Belgium,Als Het Weer Lente Is,15,0,Lize Marke
1965,Finland,Aurinko Laskee Länteen,15,0,Viktor Klimenko
1966,Austria,Merci Chérie,1,31,Udo Jürgens
1966,Sweden,Nygammal Vals,2,16,Lill Lindfors & Svante Thuresson
1966,Norway,Intet Er Nytt Under Solen,3,15,Åse Kleveland
1966,Belgium,"Un Peu De Poivre, Un Peu De Sel",4,14,Tonia
1966,Ireland,Come Back To Stay,4,14,Dickie Rock
1966,Switzerland,Ne Vois-tu Pas?,6,12,Madeleine Pascal
1966,Yugoslavia,Brez Besed,7,9,Berta Ambroz
1966,Spain,Yo Soy Aquél,7,9,Raphael
1966,United Kingdom,A Man Without Love,9,8,Kenneth McKellar
1966,Germany,Die Zeiger Der Uhr,10,7,Margot Eskens
1966,Luxembourg,Ce Soir Je T'attendais,10,7,Michèle Torr
1966,Finland,Play-boy,10,7,Ann-Christine Nyström
1966,Portugal,Ele E Ela,13,6,Madalena Iglesias
1966,Denmark,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",14,4,Ulla Pia
1966,Netherlands,Fernando En Philippo,15,2,Milly Scott
1966,France,Chez Nous,16,1,Dominique Walter
1966,Monaco,Bien Plus Fort,17,0,Tereza
1966,Italy,Dio Come Ti Amo,17,0,Domenico Modugno
1967,United Kingdom,Puppet On A String,1,47,Sandie Shaw
1967,Ireland,If I Could Choose,2,22,Sean Dunphy
1967,France,Il Doit Faire Beau Là-bas,3,20,Noëlle Cordier
1967,Luxembourg,L'amour Est Bleu,4,17,Vicky
1967,Monaco,Boum-badaboum,5,10,Minouche Barelli
1967,Spain,Hablemos Del Amor,6,9,Raphael
1967,Belgium,Ik Heb Zorgen,7,8,Louis Neefs
1967,Sweden,Som En Dröm,8,7,Östen Warnerbring
1967,Germany,Anouschka,8,7,Inge Brück
1967,Yugoslavia,Vse Rože Sveta,8,7,Lado Leskovar
1967,Italy,Non Andare Più Lontano,11,4,Claudio Villa
1967,Portugal,O Vento Mudou,12,3,Eduardo Nascimento
1967,Finland,Varjoon-suojaan,12,3,Fredi
1967,Netherlands,Ring-dinge,14,2,Thérèse Steinmetz
1967,Austria,Warum Es Hunderttausend Sterne Gibt,14,2,Peter Horten
1967,Norway,Dukkemann,14,2,Kirsti Sparboe
1967,Switzerland,Quel Cœur Vas-tu Briser?,17,0,Géraldine
1968,Spain,"La, La, La...",1,29,Massiel
1968,United Kingdom,Congratulations,2,28,Cliff Richard
1968,France,La Source,3,20,Isabelle Aubret
1968,Ireland,Chance Of A Lifetime,4,18,Pat McGeegan
1968,Sweden,"Det Börjar Verka Kärlek, Banne Mej",5,15,Claes-Göran Hederström
1968,Germany,Ein Hoch Der Liebe,6,11,Wencke Myhre
1968,Belgium,Quand Tu Reviendras,7,8,Claude Lombard
1968,Monaco,A Chacun Sa Chanson,7,8,Line & Willy
1968,Yugoslavia,Jedan Dan,7,8,Luci Kapurso & Hamo Hajdarhodzic
1968,Italy,Marianne,10,7,Sergio Endrigo
1968,Portugal,Verão,11,5,Carlos Mendes
1968,Luxembourg,Nous Vivrons D'amour,11,5,Chris Baldo & Sophie Garel
1968,Austria,Tausend Fenster,13,2,Karel Gott
1968,Switzerland,Guardando Il Sole,13,2,Gianni Mascolo
1968,Norway,Stress,13,2,Odd Børre
1968,Netherlands,Morgen,16,1,Ronnie Tober
1968,Finland,Kun Kello Käy,16,1,Kristina Hautala
1969,Spain,Vivo Cantando,1,18,Salomé
1969,United Kingdom,Boom Bang-a-bang,1,18,Lulu
1969,Netherlands,De Troubadour,1,18,Lenny Kuhr
1969,France,"Un Jour, Un Enfant",1,18,Frida Boccara
1969,Switzerland,"Bonjour, Bonjour",5,13,Paola del Medico
1969,Monaco,"Maman, Maman",6,11,Jean-Jacques
1969,Ireland,The Wages Of Love,7,10,Muriel Day and the Lindsays
1969,Belgium,Jennifer Jennings,7,10,Louis Neefs
1969,Sweden,"Judy, Min Vän",9,8,Tommy Körberg
1969,Germany,Primaballerina,9,8,Siw Malmkvist
1969,Luxembourg,Cathérine,11,7,Romuald
1969,Finland,Kuin Silloin Ennen,12,6,Jarkko and Laura
1969,Yugoslavia,Pozdrav Svijetu,13,5,Ivan & M's
1969,Italy,Due Grosse Lacrime Bianche,13,5,Iva Zanicchi
1969,Portugal,Desfolhada Portuguesa,15,4,Simone de Oliveira
1969,Norway,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",16,1,Kirsti Sparboe
1970,Ireland,All Kinds Of Everything,1,32,Dana
1970,United Kingdom,"Knock, Knock (who's there?)",2,26,Mary Hopkin
1970,Germany,Wunder Gibt Es Immer Wieder,3,12,Katja Ebstein
1970,Switzerland,Retour,4,8,Henri Dès
1970,France,Marie Blanche,4,8,Guy Bonnet
1970,Spain,Gwendolyne,4,8,Julio Iglesias
1970,Netherlands,Waterman,7,7,Patricia and Hearts of Soul
1970,Italy,Occhi Di Ragazza,8,5,Gianni Morandi
1970,Belgium,Viens L'oublier,8,5,Jean Vallée
1970,Monaco,Marlène,8,5,Dominique Dussault
1970,Yugoslavia,"Pridi, Dala Ti Bom Cvet",11,4,Eva Sršen
1970,Luxembourg,Je Suis Tombé Du Ciel,12,0,David-Alexandre Winter
1971,Monaco,"Un Banc, Un Arbre, Une Rue",1,128,Séverine
1971,Spain,En Un Mundo Nuevo,2,116,Karina
1971,Germany,Diese Welt,3,100,Katja Ebstein
1971,United Kingdom,Jack In The Box,4,98,Clodagh Rodgers
1971,Italy,L'amore è Un Attimo,5,91,Massimo Ranieri
1971,Sweden,Vita Vidder,6,85,Family Four
1971,Netherlands,De Tijd,6,85,Saskia and Serge
1971,Finland,Tie Uuteen Päivään,8,84,Markku Aro and Koivisto Sisters
1971,Portugal,Menina Do Alto Da Serra,9,83,Tonicha
1971,France,Un Jardin Sur La Terre,10,82,Serge Lama
1971,Ireland,One Day Love,11,79,Angela Farrell
1971,Switzerland,Les Illusions De Nos Vingt Ans,12,78,"Peter, Sue and Marc"
1971,Luxembourg,"Pomme, Pomme, Pomme",13,70,Monique Melsen
1971,Belgium,"Goeie Morgen, Morgen",14,68,Lily Castel and Jacques Raymond
1971,Yugoslavia,Tvoj Djecak Je Tuzan,14,68,Krunoslav Slabinac
1971,Austria,Musik,16,66,Marianne Mendt
1971,Norway,Lykken Er...,17,65,Hanne Krogh
1971,Malta,Marija L-Maltija,18,52,Joe Grech
1972,Luxembourg,Après Toi,1,128,Vicky Leandros
1972,United Kingdom,"Beg, Steal Or Borrow",2,114,The New Seekers
1972,Germany,Nur Die Liebe Läßt Uns Leben,3,107,Mary Roos
1972,Netherlands,Als Het Om De Liefde Gaat,4,106,Sandra and Andres
1972,Austria,Falter Im Wind,5,100,The Milestones
1972,Italy,I Giorni Dell' Arcobaleno,6,92,Nicola di Bari
1972,Portugal,A Festa Da Vida,7,90,Carlos Mendes
1972,Switzerland,C'est La Chanson De Mon Amour,8,88,Véronique Müller
1972,Yugoslavia,Muzika I Ti,9,87,Tereza
1972,Spain,Amanece,10,83,Jaime Morey
1972,France,Comé-comédie,11,81,Betty Mars
1972,Finland,Muistathan,12,78,Päivi Paunu and Kim Floor
1972,Sweden,Härliga Sommardag,13,75,Family Four
1972,Norway,Småting,14,73,Grethe Kausland & Benny Borg
1972,Ireland,Ceol On Ghrá,15,72,Sandie Jones
1972,Monaco,Comme On S'aime,16,65,Anne-Marie Godart and Peter MacLane
1972,Belgium,À La Folie Ou Pas Du Tout,17,55,Serge and Christine Ghisoland
1972,Malta,L-imħabba,18,48,Helen and Joseph
1973,Luxembourg,Tu Te Reconnaîtras,1,129,Anne-Marie David
1973,Spain,Eres Tú,2,125,Mocedades
1973,United Kingdom,Power To All Our Friends,3,123,Cliff Richard
1973,Israel,Ey-sham,4,97,Ilanit
1973,Sweden,You're Summer,5,94,The Nova and The Dolls
1973,Finland,Tom Tom Tom,6,93,Marion Rung
1973,Norway,It's Just A Game,7,89,Bendik Singers
1973,Germany,Junger Tag,8,85,Gitte
1973,Monaco,Un Train Qui Part,8,85,Marie
1973,Portugal,Tourada,10,80,Fernando Tordo
1973,Ireland,Do I Dream?,10,80,Maxi
1973,Switzerland,"Je Me Vais Marier, Marie",12,79,Patrick Juvet
1973,Italy,Chi Sarà Con Te,13,74,Massimo Ranieri
1973,Netherlands,De Oude Muzikant,14,69,Ben Cramer
1973,Yugoslavia,Gori Vatra,15,65,Zdravko Colic
1973,France,Sans Toi,15,65,Martine Clémenceau
1973,Belgium,"Baby, Baby",17,58,Nicole and Hugo
1974,Sweden,Waterloo,1,24,ABBA
1974,Italy,Si,2,18,Gigliola Cinquetti
1974,Netherlands,I See A Star,3,15,Mouth and MacNeal
1974,United Kingdom,Long Live Love,4,14,Olivia Newton-John
1974,Luxembourg,"Bye, Bye, I Love You",4,14,Ireen Sheer
1974,Monaco,Celui Qui Reste Et Celui Qui S'en Va,4,14,Romuald
1974,Israel,Natati La Khayay,7,11,Kaveret (Poogy)
1974,Ireland,Cross Your Heart,7,11,Tina
1974,Spain,Canta Y Se Feliz,9,10,Peret
1974,Belgium,Fleur De Liberté,9,10,Jacques Hustin
1974,Greece,"Krassi, Thalassa Ke T'agori Mou",11,7,Marinella
1974,Yugoslavia,Moja Generacija,12,6,Korni
1974,Finland,Äla Mene Pois (keep Me Warm),13,4,Carita
1974,Norway,The First Day Of Love,14,3,Anne-Karine Ström and the Bendik Singers
1974,Germany,Die Sommermelodie,14,3,Cindy und Bert
1974,Switzerland,Mein Ruf Nach Dir,14,3,Piera Martell
1974,Portugal,E Depois Do Adeus,14,3,Paulo de Carvalho
1975,Netherlands,Ding-A-Dong,1,152,Teach-In
1975,United Kingdom,Let Me Be The One,2,138,The Shadows
1975,Italy,Era,3,115,Wess & Dori Ghezzi
1975,France,Et Bonjour à Toi L'artiste,4,91,Nicole Rieu
1975,Luxembourg,Toi,5,84,Géraldine
1975,Switzerland,Mikado,6,77,Simone Drexel
1975,Finland,Old Man Fiddle,7,74,Pihasoittajat
1975,Sweden,"Jennie, Jennie",8,72,Lars Berghagen and the Dolls
1975,Ireland,That's What Friends Are For,9,68,The Swarbriggs
1975,Spain,Tú Volverás,10,53,Sergio & Estíbaliz
1975,Israel,At Va'Ani,11,40,Shlomo Artzi
1975,Malta,Singing This Song,12,32,Renato
1975,Yugoslavia,Dan Ljubezni,13,22,Pepel In Kri
1975,Monaco,Une Chanson C'est Une Lettre,13,22,Sophie
1975,Belgium,Gelukkig Zijn,15,17,Ann Christy
1975,Portugal,Madrugada,16,16,Duarte Mendes
1975,Germany,Ein Lied Kann Eine Brücke Sein,17,15,Joy Fleming
1975,Norway,You Touched My Life With Summer,18,11,Ellen Nikolaysen
1975,Turkey,Seninle Bir Dakika,19,3,Semiha Yanki
1976,United Kingdom,Save Your Kisses For Me,1,164,Brotherhood of Man
1976,France,"Un, Deux, Trois",2,147,Catherine Ferry
1976,Monaco,"Toi, La Musique Et Moi",3,93,Mary Christy
1976,Switzerland,"Djambo, Djambo",4,91,"Peter, Sue and Marc"
1976,Austria,My Little World,5,80,Waterloo and Robinson
1976,Israel,Emor Shalom,6,77,"Chocolate, Menta, Mastik"
1976,Italy,We'll Live It All Again,7,69,Romina and Al Bano
1976,Belgium,Judy Et Cie.,8,68,Pierre Rapsat
1976,Netherlands,The Party's Over Now,9,56,Sandra Reemer
1976,Ireland,When,10,54,Red Hurley
1976,Finland,Pump-pump,11,44,Fredi and The Friends
1976,Portugal,Uma Flor De Verde Pinho,12,24,Carlos do Carmo
1976,Greece,"Panaghia Mou, Panaghia Mou",13,20,Mariza Koch
1976,Luxembourg,Chansons Pour Ceux Qui S'aiment,14,17,Jürgen Marcus
1976,Germany,"Sing, Sang, Song",15,12,Les Humphries Singers
1976,Spain,Sobran Las Palabras,16,11,Braulio
1976,Yugoslavia,Ne Mogu Skriti Svoju Bol,17,10,Ambasadori
1976,Norway,Mata Hari,18,7,Anne-Karine Ström
1977,France,L'oiseau Et L'enfant,1,136,Marie Myriam
1977,United Kingdom,Rock Bottom,2,121,Lynsey de Paul and Mike Moran
1977,Ireland,It's Nice To Be In Love Again,3,119,The Swarbriggs Plus Two
1977,Monaco,Une Petite Française,4,96,Michèle Torr
1977,Greece,Mathima Solfez,5,92,"Pascalis, Marianna, Robert and Bessy"
1977,Switzerland,Swiss Lady,6,71,Pepe Lienhard Band
1977,Belgium,"A Million In One, Two, Three",7,69,Dream Express
1977,Germany,Telegram,8,55,Silver Convention
1977,Spain,Enseñame A Cantar,9,52,Micky
1977,Finland,Lapponia,10,50,Monica Aspelund
1977,Israel,Ah-haa-vah Hee Shir Lish-naa-yim,11,49,Ilanit
1977,Netherlands,De Mallemolen,12,35,Heddy Lester
1977,Italy,Liberà,13,33,Mia Martini
1977,Norway,Casanova,14,18,Anita Skorgan
1977,Portugal,Portugal No Coração,14,18,Os Amigos
1977,Luxembourg,Frère Jacques,16,17,Anne Marie B.
1977,Austria,Boom Boom Boomerang,17,11,Schmetterlinge
1977,Sweden,Beatles,18,2,Forbes
1978,Israel,A-Ba-Ni-Bi,1,157,Izhar Cohen and the Alphabeta
1978,Belgium,L'amour ça Fait Chanter La Vie,2,125,Jean Vallée
1978,France,Il Y Aura Toujours Des Violons,3,119,Joël Prévost
1978,Monaco,Les Jardins De Monaco,4,107,Caline and Olivier Toussaint
1978,Ireland,Born To Sing,5,86,Colm T. Wilkinson
1978,Germany,Feuer,6,84,Ireen Sheer
1978,Luxembourg,Parlez-vous Français?,7,73,Baccara
1978,Greece,Charlie Chaplin,8,66,Tania Tsanaklidou
1978,Spain,Bailemos Un Vals,9,65,José Vélez
1978,Switzerland,Vivre,9,65,Carole Vinci
1978,United Kingdom,The Bad Old Days,11,61,Co-Co
1978,Italy,Questo Amore,12,53,Ricchi e Poveri
1978,Netherlands,'t Is Ok,13,37,Harmony
1978,Sweden,Det Blir Alltid Värre Framåt Natten,14,26,Björn Skifs
1978,Austria,Mrs. Caroline Robinson,15,14,Springtime
1978,Denmark,Boom Boom,16,13,Mabel
1978,Portugal,Dai-li-dou,17,5,Gemini
1978,Finland,Anna Rakkaudelle Tilaisuus,18,2,Seija Simola
1978,Turkey,Sevince,18,2,Nazar
1978,Norway,Mil Etter Mil,20,0,Jahn Teigen
1979,Israel,Hallelujah,1,125,Milk and Honey
1979,Spain,Su Canción,2,116,Betty Missiego
1979,France,Je Suis L'enfant-soleil,3,106,Anne-Marie David
1979,Ireland,Happy Man,5,80,Cathal Dunne
1979,Denmark,Disco Tango,6,76,Tommy Seebach
1979,United Kingdom,Mary Ann,7,73,Black Lace
1979,Greece,Socrati,8,69,Elpida
1979,Portugal,"Sobe, Sobe, Balão Sobe",9,64,Manuela Bravo
1979,Switzerland,Trödler Und Co.,10,60,"Peter, Sue and Marc and Pfuri, Gorps and Kniri"
1979,Norway,Oliver,11,57,Anita Skorgan
1979,Netherlands,Colorado,12,51,Xandra
1979,Luxembourg,J'ai Déjà Vu ça Dans Tes Yeux,13,44,Jeane Manson
1979,Finland,Katson Sineen Taivaan,14,38,Katri-Helena
1979,Italy,Raggio Di Luna,15,27,Matia Bazar
1979,Monaco,"Notre Vie, C'est La Musique",16,12,Laurent Vaguener
1979,Sweden,Satellit,17,8,Ted Gärdestad
1979,Belgium,Hey Nana,18,5,Micha Marah
1979,Austria,Heute In Jerusalem,18,5,Christina Simon
1980,Ireland,What's Another Year,1,143,Johnny Logan
1980,Germany,Theater,2,128,Katja Ebstein
1980,United Kingdom,Love Enough For Two,3,106,Prima Donna
1980,Switzerland,Cinéma,4,104,Paola
1980,Netherlands,Amsterdam,5,93,Maggie MacNeal
1980,Italy,Non So Che Darei,6,87,Alan Sorrenti
1980,Portugal,"Um Grande, Grande Amor",7,71,José Cid
1980,Austria,Du Bist Musik,8,64,Blue Danube
1980,Luxembourg,Papa Pingouin,9,56,Sophie and Magaly
1980,Sweden,Just Nu!,10,47,Tomas Ledin
1980,France,"Hé, Hé M'sieurs Dames",11,45,Profil
1980,Spain,Quédate Esta Noche,12,38,Trigo Limpio
1980,Greece,Otostop,13,30,Anna Vissi and the Epikouri
1980,Denmark,Tænker Altid På Dig,14,25,Bamses Venner
1980,Turkey,Petr'oil,15,23,Ajda Pekkan
1980,Norway,Sámiid Ædnan,16,15,Sverre Kjellsberg & Mattis Hætta
1980,Belgium,Euro-vision,17,14,Telex
1980,Morocco,Bitakat Hob,18,7,Samira Bensaïd
1980,Finland,Huilumies,19,6,Vesa-Matti Loiri
1981,United Kingdom,Making Your Mind Up,1,136,Bucks Fizz
1981,Germany,Johnny Blue,2,132,Lena Valaitis
1981,France,Humanahum,3,125,Jean Gabilou
1981,Switzerland,Io Senza Tei,4,121,"Peter, Sue and Marc"
1981,Ireland,Horoscopes,5,105,Sheeba
1981,Cyprus,Monika,6,69,Island
1981,Israel,Halaylah,7,56,Habibi
1981,Greece,Feggari Kalokerino,8,55,Yiannis Dimitras
1981,Netherlands,Het Is Een Wonder,9,51,Linda Williams
1981,Sweden,Fångad I En Dröm,10,50,Björn Skifs
1981,Luxembourg,C'est Peut-être Pas L'Amérique,11,41,Jean-Claude Pascal
1981,Denmark,Krøller Eller Ej,11,41,Debbie Cameron and Tommy Seebach
1981,Belgium,Samson,13,40,Emly Starr
1981,Spain,Y Solo Tú,14,38,Bacchelli
1981,Yugoslavia,Leila,15,35,Seid-Memic Vajta
1981,Finland,Reggae O.k.,16,27,Riki Sorsa
1981,Austria,Wenn Du Da Bist,17,20,Marty Brem
1981,Turkey,Dönme Dolap,18,9,Modern Folk Trio and Aysegül
1981,Portugal,Play-back,18,9,Carlos Paião
1981,Norway,Aldri i Livet,20,0,Finn Kalvik
1982,Germany,Ein Bißchen Frieden,1,161,Nicole
1982,Israel,Hora,2,100,Avi Toledano
1982,Switzerland,Amour On T'aime,3,97,Arlette Zola
1982,Belgium,Si Tu Aimes Ma Musique,4,96,Stella
1982,Cyprus,Mono I Agapi,5,85,Anna Vissi
1982,Luxembourg,Cour Apres Le Temps,6,78,Svetlana
1982,United Kingdom,One Step Further,7,76,Bardo
1982,Sweden,Dag Efter Dag,8,67,Chips
1982,Austria,Sonntag,9,57,Mess
1982,Spain,Él,10,52,Lucía
1982,Ireland,"Here Today, Gone Tomorrow",11,49,The Duskeys
1982,Norway,Adieu,12,40,Jahn Teigen & Anita Skorgan
1982,Portugal,Bem-bom,13,32,Doce
1982,Yugoslavia,Halo Halo,14,21,Aska
1982,Turkey,Hani,15,20,Neço
1982,Netherlands,Jij En Ik,16,8,Bill van Dijk
1982,Denmark,Video-video,17,5,Brixx
1982,Finland,Nuku Pommiin,18,0,Kojo
1983,Luxembourg,Si La Vie Est Cadeau,1,142,Corinne Hermès
1983,Israel,Hi,2,136,Ofra Haza
1983,Sweden,Främling,3,126,Carola Häggkvist
1983,Yugoslavia,Dzuli,4,125,Danijel
1983,Germany,Rücksicht,5,94,Hoffmann und Hoffmann
1983,United Kingdom,I'm Never Giving Up,6,79,Sweet Dreams
1983,Netherlands,Sing Me A Song,7,66,Bernadette
1983,France,Vivre,8,56,Guy Bonnet
1983,Norway,Do Re Mi,9,53,Jahn Teigen
1983,Austria,Hurricane,9,53,Westend
1983,Italy,Per Lucia,11,41,Riccardo Fogli
1983,Finland,Fantasiaa,11,41,Ami Aspelund
1983,Portugal,Esta Balada Que Te Dou,13,33,Armando Gama
1983,Greece,Mou Les,14,32,Christie Stassinopoulou
1983,Switzerland,Io Così Non Ci Sto,15,28,Mariella Farré
1983,Cyprus,I Agapi Akoma Zi,16,26,Stavros and Constantina
1983,Denmark,Kloden Drejer,17,16,Gry Johansen
1983,Belgium,Rendez-vous,18,13,Pas de Deux
1983,Turkey,Opera,19,0,Çetin Alp and the Short Wave
1983,Spain,¿Quién Maneja Mi Barca?,19,0,Remedios Amaya
1984,Sweden,Diggi-loo Diggy-ley,1,145,Herrey's
